"","home","away","homescore","awayscore","mtype"
"1","England","Czech Republic",5,0,"Qualifying Group Stage"
"2","England","Kosovo",5,3,"Qualifying Group Stage"
"3","England","Bulgaria",4,0,"Qualifying Group Stage"
"4","England","Montenegro",7,0,"Qualifying Group Stage"
"5","Czech Republic","England",2,1,"Qualifying Group Stage"
"6","Czech Republic","Kosovo",2,1,"Qualifying Group Stage"
"7","Czech Republic","Bulgaria",2,1,"Qualifying Group Stage"
"8","Czech Republic","Montenegro",3,0,"Qualifying Group Stage"
"9","Kosovo","England",0,4,"Qualifying Group Stage"
"10","Kosovo","Czech Republic",2,1,"Qualifying Group Stage"
"11","Kosovo","Bulgaria",1,1,"Qualifying Group Stage"
"12","Kosovo","Montenegro",2,0,"Qualifying Group Stage"
"13","Bulgaria","England",0,6,"Qualifying Group Stage"
"14","Bulgaria","Czech Republic",1,0,"Qualifying Group Stage"
"15","Bulgaria","Kosovo",2,3,"Qualifying Group Stage"
"16","Bulgaria","Montenegro",1,1,"Qualifying Group Stage"
"17","Montenegro","England",1,5,"Qualifying Group Stage"
"18","Montenegro","Czech Republic",0,3,"Qualifying Group Stage"
"19","Montenegro","Kosovo",1,1,"Qualifying Group Stage"
"20","Montenegro","Bulgaria",0,0,"Qualifying Group Stage"
"21","Ukraine","Portugal",2,1,"Qualifying Group Stage"
"22","Ukraine","Serbia",5,0,"Qualifying Group Stage"
"23","Ukraine","Luxembourg",1,0,"Qualifying Group Stage"
"24","Ukraine","Lithuania",2,0,"Qualifying Group Stage"
"25","Portugal","Ukraine",0,0,"Qualifying Group Stage"
"26","Portugal","Serbia",1,1,"Qualifying Group Stage"
"27","Portugal","Luxembourg",3,0,"Qualifying Group Stage"
"28","Portugal","Lithuania",6,0,"Qualifying Group Stage"
"29","Serbia","Ukraine",2,2,"Qualifying Group Stage"
"30","Serbia","Portugal",2,4,"Qualifying Group Stage"
"31","Serbia","Luxembourg",3,2,"Qualifying Group Stage"
"32","Serbia","Lithuania",4,1,"Qualifying Group Stage"
"33","Luxembourg","Ukraine",1,2,"Qualifying Group Stage"
"34","Luxembourg","Portugal",0,2,"Qualifying Group Stage"
"35","Luxembourg","Serbia",1,3,"Qualifying Group Stage"
